indicator,id,valuedate,acceptedvalue,cumulative_apps
Cash assistance applications (000),10775,2015-07-01T00:00:00Z,28560,28560
Cash assistance applications (000),10775,2015-08-01T00:00:00Z,28290,56850
Cash assistance applications (000),10775,2015-09-01T00:00:00Z,29300,86150
Cash assistance applications (000),10775,2015-10-01T00:00:00Z,29490,115640
Cash assistance applications (000),10775,2015-11-01T00:00:00Z,26160,141800
Cash assistance applications (000),10775,2015-12-01T00:00:00Z,28320,170120
Cash assistance applications (000),10775,2016-01-01T00:00:00Z,27030,197150
Cash assistance applications (000),10775,2016-02-01T00:00:00Z,24910,222060
Cash assistance applications (000),10775,2016-03-01T00:00:00Z,27940,250000
Cash assistance applications (000),10775,2016-04-01T00:00:00Z,27940,277940
Cash assistance applications (000),10775,2016-05-01T00:00:00Z,25860,303800
Cash assistance applications (000),10775,2016-06-01T00:00:00Z,28610,332410
Cash assistance applications (000),10775,2016-07-01T00:00:00Z,27180,359590
Cash assistance applications (000),10775,2016-08-01T00:00:00Z,31570,391160
Cash assistance applications (000),10775,2016-09-01T00:00:00Z,30390,421550
Cash assistance applications (000),10775,2016-10-01T00:00:00Z,28910,450460
Cash assistance applications (000),10775,2016-11-01T00:00:00Z,27590,478050
Cash assistance applications (000),10775,2016-12-01T00:00:00Z,27650,505700
Cash assistance applications (000),10775,2017-01-01T00:00:00Z,29670,535370
Cash assistance applications (000),10775,2017-02-01T00:00:00Z,24640,560010
Cash assistance applications (000),10775,2017-03-01T00:00:00Z,26970,586980
Cash assistance applications (000),10775,2017-04-01T00:00:00Z,24280,611260
Cash assistance applications (000),10775,2017-05-01T00:00:00Z,27610,638870
Cash assistance applications (000),10775,2017-06-01T00:00:00Z,27280,666150
Cash assistance applications (000),10775,2017-07-01T00:00:00Z,26930,693080
Cash assistance applications (000),10775,2017-08-01T00:00:00Z,30580,723660
Cash assistance applications (000),10775,2017-09-01T00:00:00Z,28540,752200
Cash assistance applications (000),10775,2017-10-01T00:00:00Z,30600,782800
Cash assistance applications (000),10775,2017-11-01T00:00:00Z,28680,811480
Cash assistance applications (000),10775,2017-12-01T00:00:00Z,27370,838850
Cash assistance applications (000),10775,2018-01-01T00:00:00Z,30320,869170
Cash assistance applications (000),10775,2018-02-01T00:00:00Z,24980,894150
Cash assistance applications (000),10775,2018-03-01T00:00:00Z,24150,918300
Cash assistance applications (000),10775,2018-04-01T00:00:00Z,26000,944300
Cash assistance applications (000),10775,2018-05-01T00:00:00Z,27490,971790
Cash assistance applications (000),10775,2018-06-01T00:00:00Z,25640,997430
Cash assistance applications (000),10775,2018-07-01T00:00:00Z,27210,1024640
Cash assistance applications (000),10775,2018-08-01T00:00:00Z,29150,1053790
Cash assistance applications (000),10775,2018-09-01T00:00:00Z,25470,1079260
Cash assistance applications (000),10775,2018-10-01T00:00:00Z,28760,1108020
Cash assistance applications (000),10775,2018-11-01T00:00:00Z,24390,1132410
Cash assistance applications (000),10775,2018-12-01T00:00:00Z,23290,1155700
Cash assistance applications (000),10775,2019-01-01T00:00:00Z,29920,1185620
Cash assistance applications (000),10775,2019-02-01T00:00:00Z,22260,1207880
Cash assistance applications (000),10775,2019-03-01T00:00:00Z,24140,1232020
Cash assistance applications (000),10775,2019-04-01T00:00:00Z,25680,1257700
Cash assistance applications (000),10775,2019-05-01T00:00:00Z,26180,1283880
Cash assistance applications (000),10775,2019-06-01T00:00:00Z,23820,1307700
Cash assistance applications (000),10775,2019-07-01T00:00:00Z,27380,1335080
Cash assistance applications (000),10775,2019-08-01T00:00:00Z,26250,1361330
Cash assistance applications (000),10775,2019-09-01T00:00:00Z,25410,1386740
Cash assistance applications (000),10775,2019-10-01T00:00:00Z,27270,1414010
Cash assistance applications (000),10775,2019-11-01T00:00:00Z,22230,1436240
Cash assistance applications (000),10775,2019-12-01T00:00:00Z,22660,1458900
Cash assistance applications (000),10775,2020-01-01T00:00:00Z,28070,1486970
Cash assistance applications (000),10775,2020-02-01T00:00:00Z,22690,1509660
Cash assistance applications (000),10775,2020-03-01T00:00:00Z,36870,1546530
Cash assistance applications (000),10775,2020-04-01T00:00:00Z,33660,1580190
Cash assistance applications (000),10775,2020-05-01T00:00:00Z,22770,1602960
Cash assistance applications (000),10775,2020-06-01T00:00:00Z,21380,1624340
Cash assistance applications (000),10775,2020-07-01T00:00:00Z,21710,1646050
Cash assistance applications (000),10775,2020-08-01T00:00:00Z,23700,1669750
Cash assistance applications (000),10775,2020-09-01T00:00:00Z,26700,1696450
Cash assistance applications (000),10775,2020-10-01T00:00:00Z,26700,1723150
Cash assistance applications (000),10775,2020-11-01T00:00:00Z,28870,1752020
Cash assistance applications (000),10775,2020-12-01T00:00:00Z,32350,1784370
Cash assistance applications (000),10775,2021-01-01T00:00:00Z,28480,1812850
Cash assistance applications (000),10775,2021-02-01T00:00:00Z,27840,1840690
Cash assistance applications (000),10775,2021-03-01T00:00:00Z,27840,1868530
Cash assistance applications (000),10775,2021-04-01T00:00:00Z,23800,1892330
Cash assistance applications (000),10775,2021-05-01T00:00:00Z,23020,1915350
Cash assistance applications (000),10775,2021-06-01T00:00:00Z,20500,1935850
Cash assistance applications (000),10775,2021-07-01T00:00:00Z,19510,1955360
Cash assistance applications (000),10775,2021-08-01T00:00:00Z,22970,1978330
Cash assistance applications (000),10775,2021-09-01T00:00:00Z,37080,2015410
Cash assistance applications (000),10775,2021-10-01T00:00:00Z,32840,2048250
Cash assistance applications (000),10775,2021-11-01T00:00:00Z,31210,2079460
Cash assistance applications (000),10775,2021-12-01T00:00:00Z,32780,2112240
Cash assistance applications (000),10775,2022-01-01T00:00:00Z,35900,2148140
Cash assistance applications (000),10775,2022-02-01T00:00:00Z,28710,2176850
Cash assistance applications (000),10775,2022-03-01T00:00:00Z,33120,2209970
Cash assistance applications (000),10775,2022-04-01T00:00:00Z,33100,2243070
Cash assistance applications (000),10775,2022-05-01T00:00:00Z,33380,2276450
Cash assistance applications (000),10775,2022-06-01T00:00:00Z,34010,2310460
Cash assistance applications (000),10775,2022-07-01T00:00:00Z,33730,2344190
Cash assistance applications (000),10775,2022-08-01T00:00:00Z,39620,2383810
Cash assistance applications (000),10775,2022-09-01T00:00:00Z,42220,2426030
Cash assistance applications (000),10775,2022-10-01T00:00:00Z,41110,2467140
Cash assistance applications (000),10775,2022-11-01T00:00:00Z,36530,2503670
Cash assistance applications (000),10775,2022-12-01T00:00:00Z,34800,2538470
Cash assistance applications (000),10775,2023-01-01T00:00:00Z,45520,2583990
Cash assistance applications (000),10775,2023-02-01T00:00:00Z,42090,2626080
Cash assistance applications (000),10775,2023-03-01T00:00:00Z,45900,2671980
Cash assistance applications (000),10775,2023-04-01T00:00:00Z,39500,2711480
Cash assistance applications (000),10775,2023-05-01T00:00:00Z,44940,2756420
Cash assistance applications (000),10775,2023-06-01T00:00:00Z,43780,2800200
Cash assistance applications (000),10775,2023-07-01T00:00:00Z,44470,2844670
Cash assistance applications (000),10775,2023-08-01T00:00:00Z,51610,2896280
Cash assistance applications (000),10775,2023-09-01T00:00:00Z,45460,2941740
Cash assistance applications (000),10775,2023-10-01T00:00:00Z,NA,NA
